measure,caller,seasons,n,actual,expected,resid,epa
deep_shot_20plus_pp,Shane Waldron,3,1399,11.1508220157255,11.9481311012522,-0.797309085526691,0.157593849387764
deep_shot_20plus_pp,Ben Johnson,4,2427,10.7952204367532,11.6753104000863,-0.880089963333119,0.291687222640481
deep_shot_20plus_pp,Bo Hardegree,2,714,11.344537815126,12.2703976355916,-0.925859820465521,0.0415984550086618
deep_shot_20plus_pp,Kyle Shanahan,4,2265,10.5518763796909,11.5372260413842,-0.985349661693242,0.291338405231832
deep_shot_20plus_pp,Andy Reid,4,2649,10.2680256700642,11.2891382199347,-1.02111254987054,0.225668798558338
deep_shot_20plus_pp,Byron Leftwich,1,787,10.5463786531131,11.6414954381867,-1.09511678507362,0.0852557404778585
deep_shot_20plus_pp,Drew Petzing,3,1676,10.381861575179,11.7580009769742,-1.37613940179523,0.120781010201841
deep_shot_20plus_pp,Todd Downing,2,838,10.2625298329356,11.8149434171171,-1.55241358418158,0.129900159944418
deep_shot_20plus_pp,Zac Taylor,4,2526,9.38242280285035,11.4771867265546,-2.09476392370426,0.200567715883149
deep_shot_20plus_pp,Mike Kafka,3,1531,10.3200522534291,12.4816320137596,-2.16157976033046,0.120874694276633
deep_shot_20plus_pp,Joe Lombardi,1,721,8.32177531206658,11.5454716174883,-3.22369630542169,0.140021293540969
oz_action_of_PA_pp,Arthur Smith,4,562,61.0320284697509,44.7590047460434,16.2730237237075,-0.00107664401805369
oz_action_of_PA_pp,Shane Waldron,2,282,58.8652482269504,46.1790824295781,12.6861657973722,0.177255159045788
oz_action_of_PA_pp,Dave Canales,3,371,57.1428571428572,44.5466791723938,12.5961779704634,-0.0729251326014089
oz_action_of_PA_pp,Andy Reid,3,328,57.0121951219512,44.6897461238067,12.3224489981445,0.136431449569943
oz_action_of_PA_pp,Sean McVay,4,583,55.0600343053173,45.4150916781679,9.64494262714942,0.198855545659315
oz_action_of_PA_pp,Bobby Slowik,2,287,53.3101045296167,45.0992088388483,8.21089569076844,0.200244369796552
oz_action_of_PA_pp,Kevin O'Connell,4,509,52.6522593320236,44.8291329333965,7.82312639862709,0.015516829279879
oz_action_of_PA_pp,Sean Payton,3,399,48.3709273182958,43.8474534522919,4.5234738660038,0.0823285486315724
