caller,season,n_H,n_L,resid_H,resid_L,act_H,act_L,epa_H,epa_L,n,resid,epa
Matt Patricia,2022,199,491,-13.333338794378,6.35045506742968,24.1206030150754,73.7270875763748,-0.130128622663455,-0.0788164431961395,690,19.6837938618077,-0.0936151732164234
Mike Kafka,2022,264,591,-17.036584244025,2.49494942513417,25,71.5736040609137,0.0434945095612693,0.019623395446341,855,19.5315336691592,0.0269941254186697
Mike Kafka,2023,178,581,-17.3664251028487,3.21904707142181,27.5280898876405,71.7728055077453,-0.382850843314291,-0.190872239061149,759,20.5854721742705,-0.235894889333954
Mike Kafka,2025,241,504,-14.8202178373747,-0.653756097225178,29.045643153527,67.6587301587302,-0.149300106549906,0.0560219578504094,745,14.1664617401496,-0.0103976629824444
Mike LaFleur,2022,203,562,-8.00330736926699,4.48338583217819,35.4679802955665,77.0462633451957,-0.130150100344728,-0.181066254564823,765,12.4866932014452,-0.167555170503804
Mike McCarthy,2023,232,672,-1.76472257228632,13.1418577855497,32.7586206896552,73.6607142857143,-0.277675301370468,0.170892249479602,904,14.906580357836,0.0557731435092302
Mike McCarthy,2024,203,638,-3.86515852669484,6.99474442761892,38.423645320197,75.2351097178683,-0.130634866893438,-0.13531284543998,841,10.8599029543138,-0.134183678204608
Mike McDaniel,2022,179,512,-0.990942601822109,10.6554190366296,34.6368715083799,79.4921875,-0.107355471846111,0.0256184375648445,691,11.6463616384517,-0.00882777051700949
Mike McDaniel,2023,152,597,-8.02808277872637,9.95397077439667,25,74.5393634840871,-0.0859254488206811,0.0157893916304963,749,17.982053553123,-0.00485233834090418
Mike McDaniel,2024,215,499,-14.0365554634915,11.6170610866709,28.3720930232558,81.1623246492986,-0.302651867027893,0.0251800771746672,714,25.6536165501624,-0.0735368247910897
Mike McDaniel,2025,246,378,-8.19043466192859,2.28402333718446,34.5528455284553,74.0740740740741,-0.0353689580716617,-0.112265257588612,624,10.4744579991131,-0.0819503702790452
Mike Sullivan,2023,143,184,-24.4649782008329,5.20781695680773,16.0839160839161,76.0869565217391,-0.0849822433649112,-0.14129840885289,327,29.6727951576406,-0.116670850244997
