coach,spell,team,last,first,seasons,next_first,next_team,coach_after,replacement,moved_on,ended,key
Matt LaFleur,1,GB,2026,2019,8,NA,NA,Matt LaFleur,NA,NA,FALSE,Matt LaFleur 2019
Matt Nagy,1,CHI,2021,2018,4,NA,NA,Matt Nagy,Matt Eberflus,1,TRUE,Matt Nagy 2018
Matt Patricia,1,DET,2020,2018,3,NA,NA,Matt Patricia,Dan Campbell,1,TRUE,Matt Patricia 2018
Matt Rhule,1,CAR,2022,2020,3,NA,NA,Matt Rhule,Frank Reich,1,TRUE,Matt Rhule 2020
Mike Ditka,1,NO,1999,1999,1,NA,NA,Mike Ditka,Jim Haslett,1,TRUE,Mike Ditka 1999
Mike Holmgren,1,SEA,2008,1999,10,NA,NA,Mike Holmgren,Jim Mora,1,TRUE,Mike Holmgren 1999
Mike LaFleur,1,ARI,2026,2026,1,NA,NA,Mike LaFleur,NA,NA,FALSE,Mike LaFleur 2026
Mike Macdonald,1,SEA,2026,2024,3,NA,NA,Mike Macdonald,NA,NA,FALSE,Mike Macdonald 2024
Mike Martz,1,LA,2005,2000,6,NA,NA,Mike Martz,Scott Linehan,1,TRUE,Mike Martz 2000
Mike McCarthy,1,GB,2018,2006,13,2020,DAL,Mike McCarthy,Matt LaFleur,1,TRUE,Mike McCarthy 2006
Mike McCarthy,2,DAL,2024,2020,5,2026,PIT,Mike McCarthy,Brian Schottenheimer,1,TRUE,Mike McCarthy 2020
Mike McCarthy,3,PIT,2026,2026,1,NA,NA,Mike McCarthy,NA,NA,FALSE,Mike McCarthy 2026
Mike McCoy,1,LAC,2016,2013,4,NA,NA,Mike McCoy,Anthony Lynn,1,TRUE,Mike McCoy 2013
Mike McDaniel,1,MIA,2025,2022,4,NA,NA,Mike McDaniel,Jeff Hafley,1,TRUE,Mike McDaniel 2022
Mike Mularkey,1,BUF,2005,2004,2,2012,JAX,Mike Mularkey,Dick Jauron,1,TRUE,Mike Mularkey 2004
Mike Mularkey,2,JAX,2012,2012,1,2016,TEN,Mike Mularkey,Gus Bradley,1,TRUE,Mike Mularkey 2012
Mike Mularkey,3,TEN,2017,2016,2,NA,NA,Mike Mularkey,Mike Vrabel,1,TRUE,Mike Mularkey 2016
Mike Munchak,1,TEN,2013,2011,3,NA,NA,Mike Munchak,Ken Whisenhunt,1,TRUE,Mike Munchak 2011
Mike Nolan,1,SF,2008,2005,4,NA,NA,Mike Nolan,Mike Singletary,1,TRUE,Mike Nolan 2005
Mike Pettine,1,CLE,2015,2014,2,NA,NA,Mike Pettine,Hue Jackson,1,TRUE,Mike Pettine 2014
Mike Riley,1,LAC,2001,1999,3,NA,NA,Mike Riley,Marty Schottenheimer,1,TRUE,Mike Riley 1999
Mike Shanahan,1,DEN,2008,1999,10,2010,WAS,Mike Shanahan,Josh McDaniels,1,TRUE,Mike Shanahan 1999
Mike Shanahan,2,WAS,2013,2010,4,NA,NA,Mike Shanahan,Jay Gruden,1,TRUE,Mike Shanahan 2010
Mike Sherman,1,GB,2005,2000,6,NA,NA,Mike Sherman,Mike McCarthy,1,TRUE,Mike Sherman 2000
Mike Singletary,1,SF,2010,2009,2,NA,NA,Mike Singletary,Jim Harbaugh,1,TRUE,Mike Singletary 2009
Mike Smith,1,ATL,2014,2008,7,NA,NA,Mike Smith,Dan Quinn,1,TRUE,Mike Smith 2008
Mike Tice,1,MIN,2005,2002,4,NA,NA,Mike Tice,Brad Childress,1,TRUE,Mike Tice 2002
Mike Tomlin,1,PIT,2025,2007,19,NA,NA,Mike Tomlin,Mike McCarthy,1,TRUE,Mike Tomlin 2007
Mike Vrabel,1,TEN,2023,2018,6,2025,NE,Mike Vrabel,Brian Callahan,1,TRUE,Mike Vrabel 2018
Mike Vrabel,2,NE,2026,2025,2,NA,NA,Mike Vrabel,NA,NA,FALSE,Mike Vrabel 2025
Mike Zimmer,1,MIN,2021,2014,8,NA,NA,Mike Zimmer,Kevin O'Connell,1,TRUE,Mike Zimmer 2014
Nathaniel Hackett,1,DEN,2022,2022,1,NA,NA,Nathaniel Hackett,Sean Payton,1,TRUE,Nathaniel Hackett 2022
Nick Saban,1,MIA,2006,2005,2,NA,NA,Nick Saban,Cam Cameron,1,TRUE,Nick Saban 2005
