"measure","coach","wins_per_season","sample","sample_unit","eligible","outside_cone","z"
"Contract-talent model (2012-2025)","Rich Bisaccia",-0.302302323327841,1,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Pat Shurmur",-0.310376304925846,3,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Vic Fangio",-0.372439544921858,2,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Rex Ryan",-0.378213966760193,5,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Mike Munchak",-0.382031081543404,2,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Jerod Mayo",-0.3872694276454,1,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Vance Joseph",-0.396755262160016,2,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Mike Pettine",-0.411384594924522,2,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Matt Rhule",-0.480625842398497,2,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Raheem Morris",-0.482825937445157,3,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Marc Trestman",-0.490119616617641,1,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Ben McAdoo",-0.491805275860194,2,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Jay Gruden",-0.503615724625378,5,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Nathaniel Hackett",-0.525139259617438,1,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Brian Schottenheimer",-0.542413790817323,1,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Dennis Allen",-0.560999890962393,5,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Jim Tomsula",-0.570197556620629,1,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","David Culley",-0.64470268222384,1,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Brian Daboll",-0.653856904368754,4,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Steve Wilks",-0.68114566805674,2,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Lovie Smith",-0.683998691371912,3,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Jonathan Gannon",-0.71500008518453,3,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Tony Sparano",-0.730319359574736,1,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Aaron Glenn",-0.741754498868,1,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Joe Judge",-0.802588581349329,2,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Bill Callahan",-0.870219773717201,1,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Urban Meyer",-0.887364584390191,1,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Dave Canales",-0.888301003231153,2,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Ken Whisenhunt",-1.02454864968567,2,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Matt Patricia",-1.07377133059548,3,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Gus Bradley",-1.07691316496817,4,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Kevin Stefanski",-1.0838172497716,6,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Brian Callahan",-1.10664590614643,2,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Hue Jackson",-1.11976100797449,2,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Jon Gruden",-1.23939043472073,3,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Robert Saleh",-1.29781668027669,4,"seasons",TRUE,NA,NA
"Contract-talent model (2012-2025)","Romeo Crennel",-1.36942226842282,2,"seasons",FALSE,NA,NA
"Contract-talent model (2012-2025)","Adam Gase",-1.38258860762359,5,"seasons",TRUE,NA,NA
"Market model (career, prices the coach in)","Bill Belichick",1.00850496365365,387,"games",TRUE,TRUE,2.6133121459578
"Market model (career, prices the coach in)","Andy Reid",0.705996456720453,437,"games",TRUE,FALSE,1.90632164193632
"Market model (career, prices the coach in)","Mike Tomlin",0.95663436029499,309,"games",TRUE,TRUE,2.13679776648549
"Market model (career, prices the coach in)","Sean Payton",0.733200632667303,292,"games",TRUE,FALSE,1.6059415119464
"Market model (career, prices the coach in)","Tony Dungy",1.33511688539372,160,"games",TRUE,TRUE,2.20727070820611
"Market model (career, prices the coach in)","Sean McDermott",1.2493338122994,148,"games",TRUE,TRUE,2.00078802738619
"Market model (career, prices the coach in)","Mike Vrabel",1.33144287650026,116,"games",TRUE,FALSE,1.8092429836624
"Market model (career, prices the coach in)","Jeff Fisher",0.512154939211784,272,"games",TRUE,FALSE,1.07734020515448
"Market model (career, prices the coach in)","Kevin O'Connell",1.91602308192884,68,"games",TRUE,FALSE,1.95168519953314
"Market model (career, prices the coach in)","Chuck Pagano",1.33421339554419,96,"games",TRUE,FALSE,1.65975444573383
"Market model (career, prices the coach in)","Jim Harbaugh",1.28980700446112,98,"games",TRUE,FALSE,1.6412979278331
"Market model (career, prices the coach in)","Mike McCarthy",0.43607011994239,288,"games",TRUE,FALSE,0.957738924172093
"Market model (career, prices the coach in)","Bruce Arians",0.953339287903995,129,"games",TRUE,FALSE,1.3890920753123
"Market model (career, prices the coach in)","Marty Schottenheimer",1.27307199186787,96,"games",TRUE,FALSE,1.59444207876672
"Market model (career, prices the coach in)","Mike Smith",1.06102840681657,112,"games",TRUE,FALSE,1.42335043113539
"Market model (career, prices the coach in)","Matt LaFleur",1.0107175550734,117,"games",TRUE,FALSE,1.39288481546318
"Market model (career, prices the coach in)","Pete Carroll",0.43486157758824,260,"games",TRUE,FALSE,0.90104042285575
"Market model (career, prices the coach in)","Bill Cowher",0.806147989822096,128,"games",TRUE,FALSE,1.15448500099013
