caller,seasons,plays,epa,first,last,class,side,rank_in_side,rank_in_class
Kevin Stefanski,8,6357,-0.028577801235880208,2018,2025,Upperclassmen (5+ seasons),Offense: EPA per play,52,32
Ben McAdoo,5,4409,-0.029696878273927394,2014,2022,Upperclassmen (5+ seasons),Offense: EPA per play,53,33
Terry Robiskie,2,1956,-0.03129748048797315,2016,2017,Freshmen (1-2),Offense: EPA per play,54,4
Tim Kelly,3,2922,-0.03202849921100297,2020,2023,Sophomores (3-4),Offense: EPA per play,55,18
Norv Turner,7,6206,-0.03245428443938071,2012,2019,Upperclassmen (5+ seasons),Offense: EPA per play,56,34
Dave Canales,3,3011,-0.036065674819667486,2023,2025,Sophomores (3-4),Offense: EPA per play,57,19
Chip Kelly,5,4804,-0.03821141935711001,2013,2025,Upperclassmen (5+ seasons),Offense: EPA per play,58,35
Bobby Slowik,2,2124,-0.03905861132792721,2023,2024,Freshmen (1-2),Offense: EPA per play,59,5
Matt Nagy,5,3152,-0.03968456835150343,2017,2021,Upperclassmen (5+ seasons),Offense: EPA per play,60,36
Mike Kafka,3,3205,-0.04249945459784885,2022,2025,Sophomores (3-4),Offense: EPA per play,61,20
Kevin Gilbride,2,1936,-0.04585218550906043,2012,2013,Freshmen (1-2),Offense: EPA per play,62,6
Mike McCoy,3,2095,-0.046505176433370314,2012,2018,Sophomores (3-4),Offense: EPA per play,63,21
Hue Jackson,4,3982,-0.04652899575548326,2014,2017,Sophomores (3-4),Offense: EPA per play,64,22
Jay Gruden,7,6287,-0.04656192245747601,2012,2020,Upperclassmen (5+ seasons),Offense: EPA per play,65,37
Press Taylor,2,2093,-0.04656756344736094,2023,2024,Freshmen (1-2),Offense: EPA per play,66,7
Kevin O'Connell,5,4751,-0.04668665298523148,2019,2025,Upperclassmen (5+ seasons),Offense: EPA per play,67,38
Matt Canada,3,2779,-0.048240437017420534,2021,2023,Sophomores (3-4),Offense: EPA per play,68,23
Pep Hamilton,4,3638,-0.05001957644875315,2013,2022,Sophomores (3-4),Offense: EPA per play,69,24
Marty Mornhinweg,5,4931,-0.05342446674141895,2013,2018,Upperclassmen (5+ seasons),Offense: EPA per play,70,39
Mike Sherman,2,1950,-0.05493654652507627,2012,2013,Freshmen (1-2),Offense: EPA per play,71,8
Bill O'Brien,7,7274,-0.05549154266655676,2014,2023,Upperclassmen (5+ seasons),Offense: EPA per play,72,40
Mike Sullivan,4,3123,-0.05558527733927519,2012,2023,Sophomores (3-4),Offense: EPA per play,73,25
Dowell Loggains,5,3759,-0.059877783130363356,2012,2020,Upperclassmen (5+ seasons),Offense: EPA per play,74,41
Freddie Kitchens,4,1906,-0.06361712201149763,2018,2021,Sophomores (3-4),Offense: EPA per play,75,26
John DeFilippo,3,2880,-0.07198774700823765,2015,2019,Sophomores (3-4),Offense: EPA per play,76,27
Scott Turner,5,4030,-0.07252720118619094,2019,2024,Upperclassmen (5+ seasons),Offense: EPA per play,77,42
Mike LaFleur,3,2163,-0.07418089796940418,2021,2025,Sophomores (3-4),Offense: EPA per play,78,28
Luke Getsy,3,2619,-0.08196886539936171,2022,2024,Sophomores (3-4),Offense: EPA per play,79,29
Nathaniel Hackett,8,6448,-0.09754483518263704,2013,2024,Upperclassmen (5+ seasons),Offense: EPA per play,80,43
Greg Olson,6,5445,-0.1088860560053288,2013,2025,Upperclassmen (5+ seasons),Offense: EPA per play,81,44
