sim,shift_no_trait,shift_fitted_trait,persistence_r3_no_trait,persistence_r3_fitted_trait,persistence_r5_no_trait,persistence_r5_fitted_trait,shift_no_trait_vol_censored,shift_fitted_trait_vol_censored,shift_no_trait_wins_rule
81,2.35275834905453,3.21022697810243,0.283226956679983,-0.0659935405387547,0.214245119197642,0.0760316522058556,2.49751358264899,3.16988090320013,1.04210413889291
82,1.79874072340269,2.79682029917254,-0.0245974588826618,0.11968073126333,0.448518654392176,0.527053595883142,2.53664816987338,1.78079721189623,1.6851266866888
83,3.22302300647802,1.81804649059879,0.120782310304944,0.0926195015013915,0.178761031562363,-0.0253216961457754,2.06534456496968,1.48244027624852,2.10948283542237
84,2.00590649295022,2.55589995753693,0.113856929926707,0.191692998096673,0.275630646676592,0.433730136242742,3.67649955896476,3.24475635650625,1.76881158138552
85,2.51910668658333,1.93308770805915,0.199419186863793,0.0581423418859926,-0.112151486249686,-0.0831730910641424,1.99250866061704,1.96420969092432,2.59345935518233
86,2.127865510132,2.82329649240974,-0.0488685999012202,0.165214371040873,0.143094413344589,0.558576291361825,2.5189712849368,2.15392455401303,3.59326321445715
87,2.38528089096916,2.42144938650628,-0.0603937263579879,0.00594044272793036,-0.274308144285135,0.342500929374603,2.41015703046579,3.05968078800258,2.53140037107949
88,1.85780192539726,2.79962557365008,-0.0935149291944202,0.280577637735062,0.289005557298169,0.258855663632331,2.49506349012713,2.7694173221518,1.69592866094316
89,2.02785784657378,2.55217434164902,0.0762130191169589,0.238781994503208,0.148012781082033,0.362854256997407,2.53819494105732,2.36930390472456,1.88625873538327
90,2.62745320212286,2.60287002506344,0.321082537623331,0.261389646189409,0.530263341157828,0.399982682717657,2.97230783995568,2.15890057435618,1.66266437785557
91,1.48535931569142,2.15576838828341,0.191963872567907,0.197403271442204,-0.0112515192870609,0.22775248847504,1.6395372746846,2.60235440960768,3.44945314801093
92,2.3081607091138,3.01088387353917,0.0632828791628572,0.251638677613732,-0.141321553407506,-0.0136361464841624,1.78065321340756,2.7809019763026,2.36160284945291
93,3.07647345018821,1.84179588830939,0.145754200948099,0.183051207199969,-0.025591113829748,0.398306704895401,2.68580632775209,1.87912438939195,1.92542522549966
94,2.99893710741426,3.07885019773996,0.290415886361494,0.25926092879756,-0.371748572858851,0.337304550942629,1.85201579373867,2.84803478309678,1.4163411929943
95,1.80441512885648,2.07671558820375,0.164428453902278,0.0116522958334284,0.307486382037138,-0.0187246363911346,3.34329981913292,1.93279814108957,1.64942097288318
96,1.98731590540744,2.55417905167862,0.260566231228117,0.538592252048419,0.502076364433926,0.708315205332133,2.13717417739269,2.17381172885358,1.00682289577559
97,3.358298476185,3.42100212924147,0.453549712652618,0.316743186104595,0.392979085599186,0.526505390210697,1.19011970080929,1.67685346411949,2.15779506227022
98,2.36503911733365,3.17544556043231,0.125777755361579,0.324887215892295,0.493112867014946,0.294119213185732,1.89943464544811,2.42837809599673,2.39917238837233
