off_play_caller,season,H_situ_m,n_look,H_look,presnap_tip
Bruce Arians,2016,0.829263453602829,860,0.8103798960684819,0.018883557534347117
Bruce Arians,2017,0.8248546489661982,866,0.8082160150918545,0.016638633874343722
Byron Leftwich,2018,0.8172776218181568,368,0.8072379269432082,0.010039694874948601
Byron Leftwich,2019,0.8154731228778546,900,0.7882538221704276,0.027219300707426952
Byron Leftwich,2020,0.8168611554363207,941,0.7925638869238519,0.024297268512468717
Byron Leftwich,2021,0.8107504492411468,908,0.7700912825681896,0.040659166672957214
Byron Leftwich,2022,0.8269242252933157,1001,0.7992236055136455,0.0277006197796702
Chad O'Shea,2019,0.8276537052250785,670,0.812725112371253,0.014928592853825529
Chan Gailey,2016,0.8376828910250794,806,0.8266210260719408,0.011061864953138656
Chan Gailey,2020,0.8484458867031744,774,0.8319752321139448,0.016470654589229694
Chip Kelly,2016,0.8496796479715937,739,0.8399889438175676,0.009690704154026064
Chip Kelly,2025,0.8429016670639956,486,0.8265034188140089,0.016398248249986702
Dan Campbell,2021,0.8715554166402312,419,0.8735421852453505,-0.001986768605119371
Dan Campbell,2025,0.8303722581098575,505,0.815227314383661,0.015144943726196458
Darrell Bevell,2016,0.8485856027667527,889,0.8311112059129376,0.017474396853815022
Darrell Bevell,2017,0.8284883217409295,869,0.8125742603857438,0.015914061355185694
Darrell Bevell,2019,0.8309430944959081,885,0.8154553199901037,0.015487774505804408
Darrell Bevell,2020,0.83438220325543,685,0.8189225200705639,0.015459683184866124
Darrell Bevell,2021,0.8300381808082927,590,0.8207593758543515,0.009278804953941178
Dave Canales,2023,0.8290163149906598,947,0.8066798480578413,0.022336466932818433
Dave Canales,2024,0.8385469855410184,711,0.8114941793454356,0.027052806195582813
Dave Canales,2025,0.84989061848270675,874,0.8270824324455349,0.02280818603717183
Dirk Koetter,2016,0.8435521912530701,908,0.8222651628484593,0.02128702840461083
Dirk Koetter,2017,0.8311161060455236,847,0.8096135561514607,0.02150254989406286
Dirk Koetter,2018,0.8326235590434614,437,0.8145934352572765,0.01803012378618496
Dirk Koetter,2019,0.8135359631965958,816,0.7943501187766641,0.019185844419931763
Dirk Koetter,2020,0.8470103994490014,880,0.8307458285964199,0.016264570852581484
Doug Pederson,2016,0.835444616049354,910,0.823401397794308,0.012043218255046062
Doug Pederson,2017,0.8419119622043827,991,0.831431763346355,0.010480198858027645
Doug Pederson,2018,0.8439641729032911,993,0.8310297749822161,0.01293439792107498
Doug Pederson,2019,0.8382519052869443,985,0.8255821164121888,0.01266978887475545
Doug Pederson,2020,0.843372653516138,907,0.8334058799473631,0.009966773568774845
Doug Pederson,2022,0.8378269504661319,985,0.8229538838958997,0.01487306657023213
Dowell Loggains,2016,0.8316267992516657,735,0.8127415983755493,0.018885200876116448
Dowell Loggains,2017,0.8198567816740038,678,0.8025316843134281,0.017325097360575636
Dowell Loggains,2020,0.843962027796978,419,0.8324109411937876,0.011551086603190486
Drew Petzing,2023,0.8511228334484965,791,0.8452573693658009,0.005865464082695615
Drew Petzing,2024,0.8445164362052564,878,0.8270491677925145,0.017467268412741932
Drew Petzing,2025,0.8263390185628541,746,0.8091535391727791,0.017185479390074976
Eric Bieniemy,2023,0.8226510231868973,848,0.7855077603099448,0.037143262876952465
Frank Reich,2018,0.8507310158216871,923,0.8324098354373011,0.018321180384386015
Frank Reich,2019,0.8474457576102504,890,0.8310566388274688,0.016389118782781598
Frank Reich,2020,0.844469682031222,874,0.829596953350025,0.014872728681196934
Frank Reich,2021,0.8454162661844404,823,0.8246968740254501,0.020719392158990324
Frank Reich,2022,0.8261650275727673,552,0.8076599714813153,0.018505056091452032
Frank Reich,2023,0.8260321962860366,393,0.8075834721541841,0.0184487241318525
Freddie Kitchens,2018,0.8610675039710136,297,0.8509000353209439,0.010167468650069678
Freddie Kitchens,2019,0.8233806530061156,762,0.8090127277208448,0.014367925285270866
Freddie Kitchens,2020,0.8095845674415179,35,0.8124108305127764,-0.00282626307125855
Freddie Kitchens,2021,0.8261346234011996,285,0.8261149517915067,1.9671609692850645e-5
Gary Kubiak,2016,0.8198626147703968,840,0.8066127523151232,0.013249862455273598
Gary Kubiak,2020,0.861458600715622,885,0.8485017146763116,0.012956886039310334
George Godsey,2021,0.8382769231756608,923,0.824082289291201,0.01419463388445985
Greg Olson,2016,0.8189525624277421,321,0.801936889743036,0.01701567268470605
Greg Olson,2021,0.8655419171445978,674,0.8429722032712351,0.022569713873362707
Greg Olson,2025,0.8214895159188579,213,0.8114682295623504,0.010021286356507453
Greg Roman,2016,0.8390001422094053,86,0.8306460945726617,0.008354047636743633
Greg Roman,2019,0.8510458928018435,739,0.8334055045102025,0.01764038829164105
Greg Roman,2020,0.8549241053195689,726,0.8430817517816107,0.01184235353795815
Greg Roman,2021,0.8407874462895012,1034,0.8189645476934518,0.021822898596049356
Greg Roman,2022,0.8475098028962015,972,0.8215935998575672,0.02591620303863429
Greg Roman,2024,0.8289421973361373,852,0.7949570243919001,0.033985172944237196
Greg Roman,2025,0.8182183163925636,941,0.783035251000772,0.03518306539179161
Hue Jackson,2016,0.8224806206287094,702,0.8130914199735408,0.009389200655168572
Hue Jackson,2017,0.8318214947959353,746,0.8112117208968581,0.020609773899077144
Jason Garrett,2020,0.83602107179208,768,0.8254748509701062,0.010546220821973762
Jason Garrett,2021,0.8385766451117302,484,0.8259806794381466,0.012595965673583676
Jay Gruden,2017,0.821783660297507,829,0.802793914948194,0.01898974534931308
Jay Gruden,2018,0.8129972056983492,767,0.7885104965764358,0.02448670912191342
Jay Gruden,2019,0.8253903411868414,164,0.8074749662376903,0.017915374949151075
Jay Gruden,2020,0.8112457641304689,712,0.7842580747677981,0.02698768936267082
Jeff Nixon,2021,0.798093825809424,211,0.7865908765180195,0.011502949291404496
Jeremy Bates,2018,0.8353284613089693,742,0.823733549631634,0.011594911677335284
