coach,season,n_games,mean_residual
Jack Del Rio,2004,16,-0.015958900038457024
Jack Del Rio,2005,16,0.20232908616905865
Jack Del Rio,2006,16,0.11206908160341157
Jack Del Rio,2007,16,0.14571918805647247
Jack Del Rio,2008,16,0.024810661018549146
Jack Del Rio,2009,16,-0.10458444001454456
Jack Del Rio,2010,16,-0.13245842760368273
Jack Del Rio,2011,11,-0.15137568217499678
Jack Del Rio,2015,16,-0.0735409949321113
Jack Del Rio,2016,16,-0.04257645989379602
Jack Del Rio,2017,16,-0.045416281701391524
Jason Garrett,2010,8,0.12369949621223093
Jason Garrett,2011,16,0.08135523044991447
Jason Garrett,2012,16,0.05218249332509373
Jason Garrett,2013,16,-0.06809169739819804
Jason Garrett,2014,16,0.15508493219879893
Jason Garrett,2015,16,-0.21257993492915853
Jason Garrett,2016,16,0.06747263196210393
Jason Garrett,2017,16,-0.04973430887048596
Jason Garrett,2018,16,-0.04661125195048172
Jason Garrett,2019,16,0.24181188771683743
Jay Gruden,2014,16,-0.21097462490974403
Jay Gruden,2015,16,-0.12385648350835846
Jay Gruden,2016,16,0.07782371038448466
Jay Gruden,2017,16,-0.08372243547869887
Jay Gruden,2018,16,-0.09456319608198949
Jay Gruden,2019,5,-0.33141248547364244
Jay Rosburg,2022,2,0.08722745627485728
Jeff Fisher,2000,16,0.1548081912674085
Jeff Fisher,2001,16,-0.10636524619589896
Jeff Fisher,2002,16,4.448513588292853e-4
Jeff Fisher,2003,16,0.056108697116483155
Jeff Fisher,2004,16,-0.2891755948723328
Jeff Fisher,2005,16,-0.17686609555166816
Jeff Fisher,2006,16,-0.13905733948994636
Jeff Fisher,2007,16,0.10280830485176112
Jeff Fisher,2008,16,0.1600329116387283
Jeff Fisher,2009,16,0.006965798829477399
Jeff Fisher,2010,16,0.04167454252686383
Jeff Fisher,2012,16,9.750694196304505e-4
Jeff Fisher,2013,16,-0.024030508869824222
Jeff Fisher,2014,16,-0.27526511020542227
Jeff Fisher,2015,16,-0.060707699020053005
Jeff Fisher,2016,16,-0.23276693201503101
Jeff Saturday,2022,8,-0.2657545868477481
Jerod Mayo,2024,17,-0.10212747715734347
Jim Bates,2004,7,-0.042589266302799945
Jim Caldwell,2009,16,0.119786079927988
Jim Caldwell,2010,16,-0.08953616096683108
Jim Caldwell,2011,16,-0.12426299418986715
Jim Caldwell,2014,16,0.155204206736651
Jim Caldwell,2015,16,-0.1257284125481876
Jim Caldwell,2016,16,-0.18826326133973978
Jim Caldwell,2017,16,0.07310342950947518
Jim Fassel,2000,16,0.11094738231009463
Jim Fassel,2001,16,-0.03819647932113966
Jim Fassel,2002,16,-0.004021513004092439
Jim Fassel,2003,16,-0.19771206601430022
Jim Harbaugh,2011,16,0.001791301085831568
Jim Harbaugh,2012,16,0.22949494962664493
Jim Harbaugh,2013,16,0.008918274918459312
Jim Harbaugh,2014,16,-0.17662698014599723
Jim Harbaugh,2024,17,-0.08039930632529364
Jim Harbaugh,2025,17,0.07466145462122901
Jim Haslett,2000,16,0.13081505021227283
Jim Haslett,2001,16,0.05797717234843063
Jim Haslett,2002,16,0.04924102472992966
Jim Haslett,2003,16,0.10704155707327818
Jim Haslett,2004,16,-0.0068792016447423825
Jim Haslett,2005,16,-0.1254568738946344
Jim Haslett,2008,12,-0.1075206076928474
Jim Mora,2000,16,0.12245695934743268
Jim Mora,2001,16,-0.06364908667438765
Jim Mora,2004,16,-0.1266448246481163
Jim Mora,2005,16,-0.04364191213814076
Jim Mora,2006,16,0.02416442459854835
Jim Mora,2009,16,-0.044533137994259196
Jim Schwartz,2009,16,-0.31837799090057683
Jim Schwartz,2010,16,-0.07470355113710882
Jim Schwartz,2011,16,0.2653910414815201
Jim Schwartz,2012,16,0.03254114817511507
Jim Schwartz,2013,16,0.043259271291214846
Jim Tomsula,2010,1,0.7872374444485473
Jim Tomsula,2015,16,-0.10868565816529567
Jim Zorn,2008,16,-0.008905518987182108
Jim Zorn,2009,16,0.13821297127215973
Joe Gibbs,2004,16,-0.09137734388168614
Joe Gibbs,2005,16,0.07329857898518281
Joe Gibbs,2006,16,-0.17560908090768362
Joe Gibbs,2007,16,-0.08701358055668379
Joe Judge,2020,16,-0.06317660778091717
Joe Judge,2021,17,-0.14291250152218263
Joe Philbin,2012,16,-0.054848259895708795
Joe Philbin,2013,16,-0.09419584941204817
