coach,season,games,actual_wins,expected_wins,wins_above_expectation,rate_per17,eligible
Jay Gruden,2014,16,4,6.500176037451022,-2.5001760374510216,-2.6564370397917103,TRUE
Jay Gruden,2015,16,9,6.083445989308381,2.916554010691619,3.098838636359845,TRUE
Jay Gruden,2016,16,8.5,8.445969723814878,0.054030276185121684,0.05740716844669179,TRUE
Jay Gruden,2017,16,7,7.459083445066953,-0.45908344506695375,-0.48777616038363836,TRUE
Jay Gruden,2018,16,7,6.287583843915024,0.7124161560849765,0.7569421658402876,TRUE
Jay Gruden,2019,5,0,1.2938610747109123,-1.2938610747109123,-4.399127654017102,FALSE
Jay Rosburg,2022,2,1,0.8260693726665801,0.1739306273334199,1.4784103323340692,FALSE
Jeff Fisher,1999,16,13,9.857637130597059,3.142362869402941,3.338760548740625,TRUE
Jeff Fisher,2000,16,13,11.153390140033501,1.8466098599664966,1.9620229762144026,TRUE
Jeff Fisher,2001,16,7,8.38539980579536,-1.3853998057953616,-1.4719872936575717,TRUE
Jeff Fisher,2002,16,11,8.867160574666356,2.132839425333644,2.2661418894169967,TRUE
Jeff Fisher,2003,16,12,9.88308022606169,2.1169197739383083,2.2492272598094525,TRUE
Jeff Fisher,2004,16,5,7.565844921689196,-2.5658449216891968,-2.7262102292947716,TRUE
Jeff Fisher,2005,16,4,6.104782858961972,-2.104782858961972,-2.236331787647095,TRUE
Jeff Fisher,2006,16,8,4.989763256347681,3.01023674365232,3.19837654013059,TRUE
Jeff Fisher,2007,16,10,8.6724585431912935,1.3275414568087065,1.4105127978592507,TRUE
Jeff Fisher,2008,16,13,9.815110011173395,3.184889988826602,3.383945613128265,TRUE
Jeff Fisher,2009,16,8,8.467766611176708,-0.4677666111767087,-0.497002024375253,TRUE
Jeff Fisher,2010,16,6,7.979561477834746,-1.9795614778347455,-2.103284070199417,TRUE
Jeff Fisher,2012,16,7.5,5.630495046336887,1.8695049536631125,1.9863490132670572,TRUE
Jeff Fisher,2013,16,7,5.9954276306886065,1.004572369311393,1.0673581423933551,TRUE
Jeff Fisher,2014,16,6,6.648459058568169,-0.6484590585681695,-0.6889877497286802,TRUE
Jeff Fisher,2015,16,7,7.338557932967084,-0.3385579329670836,-0.3597178037775263,TRUE
Jeff Fisher,2016,16,4,5.95062574652174,-1.9506257465217391,-2.0725398556793477,TRUE
Jeff Saturday,2022,8,1,3.055028210622718,-2.055028210622718,-4.3669349475732755,TRUE
Jerod Mayo,2024,17,4,5.14651333495228,-1.1465133349522802,-1.1465133349522802,TRUE
Jim Bates,2004,7,3,2.34378553326043,0.6562144667395702,1.5936637049389561,FALSE
Jim Caldwell,2009,16,14,10.172872776277496,3.827127223722505,4.0663226752051616,TRUE
Jim Caldwell,2010,16,10,9.919868429639028,0.08013157036097229,0.08513979350853307,TRUE
Jim Caldwell,2011,16,2,4.3758845435457685,-2.375884543545769,-2.5243773275173793,TRUE
Jim Caldwell,2014,16,11,9.206151580463338,1.7938484195366606,1.905963945757702,TRUE
Jim Caldwell,2015,16,7,7.273387886689946,-0.27338788668994585,-0.29047462960806747,TRUE
Jim Caldwell,2016,16,9,7.5777798325697825,1.4222201674302175,1.5111089278946062,TRUE
Jim Caldwell,2017,16,9,8.236451089918422,0.7635489100815761,0.8112707169616746,TRUE
Jim Fassel,1999,16,7,6.8611617541913175,0.13883824580868143,0.14751563617172403,TRUE
Jim Fassel,2000,16,12,9.017152358110707,2.9828476418892933,3.169275619507374,TRUE
Jim Fassel,2001,16,7,8.705718653213625,-1.7057186532136246,-1.812326069039476,TRUE
Jim Fassel,2002,16,10,8.34981206287328,1.6501879371267214,1.7533246831971414,TRUE
Jim Fassel,2003,16,4,7.643382363916647,-3.643382363916647,-3.871093761661437,TRUE
Jim Harbaugh,2011,16,13,9.488999329784608,3.5110006702153895,3.7304382121038513,TRUE
Jim Harbaugh,2012,16,11.5,10.664286099467587,0.8357139005324125,0.8879460193156883,TRUE
