coach,first_season,last_season,games,actual_wins,expected_wins,wins_above_expectation,rate_per17,sd_wae,sd_rate_per17,z,outside_cone,eligible
Jim Zorn,2008,2009,32,12,14.801713325464258,-2.801713325464254,-1.488410204152885,2.5675536187802614,1.3640128599770138,-1.0911995391142921,FALSE,TRUE
Zac Taylor,2019,2025,116,52.5,55.31028977379904,-2.8102897737990506,-0.4118528116774471,4.955939001724626,0.7263014054251606,-0.567054956249682,FALSE,TRUE
Mike Ditka,1999,1999,16,3,5.839941652314472,-2.8399416523144714,-3.017438005584126,1.7696267397469305,1.8802284109811136,-1.604825237168717,FALSE,TRUE
Mike Pettine,2014,2015,32,10,12.869531094736368,-2.8695310947363644,-1.5244383940786936,2.5731436252782585,1.3669825509290747,-1.1151849692906493,FALSE,TRUE
Doug Pederson,2016,2024,131,64.5,67.40860100649303,-2.908601006493035,-0.3774520390105465,5.35371147823684,0.6947564513742465,-0.5432868428410222,FALSE,TRUE
Dick LeBeau,2000,2002,45,12,15.007218347842949,-3.0072183478429535,-1.1360602647406712,3.040715771129223,1.1487148468710398,-0.9889837045591966,FALSE,TRUE
Mike Mularkey,2004,2017,80,34,37.058788625327416,-3.0587886253274266,-0.6499925828820782,4.180267029951363,0.8883067438646646,-0.7317208693634616,FALSE,TRUE
Scott Linehan,2006,2008,36,11,14.1271872891812,-3.127187289181201,-1.4767273310022337,2.7555687319880477,1.301240790105467,-1.134860928301013,FALSE,TRUE
Steve Mariucci,1999,2005,107,47,50.13374234175709,-3.133742341757104,-0.4978842972885119,4.803190031325139,0.7631236498367043,-0.6524293899095525,FALSE,TRUE
Herm Edwards,2001,2008,128,54,57.34229566852574,-3.3422956685257397,-0.4438986434760748,5.2678006817559995,0.6996297780457187,-0.6344764865726847,FALSE,TRUE
