off_play_caller,season,n_games,script_epa,n_script,rest_epa,n_rest,gap
Ryan Grubb,2024,17,-0.0845400465927604,255,0.0206462676471078,371,-0.105186314239868
Scott Linehan,2015,16,-0.0678298971397964,240,-0.127803868497754,443,0.0599739713579576
Scott Linehan,2016,17,0.196764943219565,255,0.0607619238311578,437,0.136003019388407
Scott Linehan,2017,16,-0.06752258711745,240,0.0233654039209103,397,-0.0908879910383603
Scott Linehan,2018,18,-0.0128243126354369,270,0.123193481834528,487,-0.136017794469965
Scott Turner,2020,17,-0.182223420939832,255,-0.149104259354878,263,-0.0331191615849536
Scott Turner,2021,17,-0.0915112068941021,255,0.0477492637470705,453,-0.139260470641173
Scott Turner,2022,17,-0.210154535706111,255,-0.0559397815399115,482,-0.154214754166199
Sean McVay,2015,17,0.0369981003150681,255,0.0705151541959694,408,-0.0335170538809012
Sean McVay,2016,16,0.106355196657721,240,0.0928640663729687,511,0.0134911302847524
Sean McVay,2017,17,0.0254626692034681,255,0.0482657898711716,294,-0.0228031206677035
Sean McVay,2018,19,0.0637973659272006,285,0.0758609940884428,359,-0.0120636281612422
Sean McVay,2019,16,-0.063732111871458,240,0.0157317762972258,371,-0.0794638881686838
Sean McVay,2020,18,0.0651502279090214,270,-0.0793410202203296,451,0.144491248129351
Sean McVay,2021,21,0.0415332786303992,315,0.134209185322739,392,-0.0926759066923394
Sean McVay,2022,17,-0.0321091250405327,255,-0.121111546416807,326,0.089002421376274
Sean McVay,2023,18,0.0435618356425131,270,0.0858719978692486,421,-0.0423101622267355
Sean McVay,2024,19,-0.0878010654100062,285,0.00946258333048393,477,-0.0972636487404901
Sean McVay,2025,19,0.0633679565077379,285,0.138510308284983,508,-0.0751423517772455
Sean Payton,2015,16,0.182930888263698,240,0.0356469353963338,416,0.147283952867365
Sean Payton,2016,16,-0.0282597009571145,240,0.10567132598837,394,-0.133931026945485
Sean Payton,2017,18,0.128749658789941,270,0.156564494461895,247,-0.0278148356719537
Sean Payton,2018,18,0.12907241286073,270,0.0464373348642256,427,0.0826350779965044
Sean Payton,2019,17,0.0073352032289625,255,0.101981008240242,364,-0.0946458050112792
Sean Payton,2020,18,0.0325306006227158,270,0.130722983649558,356,-0.0981923830268423
Sean Payton,2021,17,-0.188678797856324,255,0.0120733832558512,359,-0.200752181112175
Sean Payton,2023,17,0.00240254072197791,255,-0.142897211990508,352,0.145299752712486
Sean Payton,2024,18,-0.056680667884029,270,-0.0195552615912727,353,-0.0371254062927563
Sean Payton,2025,19,-0.0305961438559145,285,0.0914094662167555,509,-0.12200561007267
Shane Steichen,2020,16,0.0222453831013381,240,0.0549995862347892,482,-0.0327542031334512
Shane Steichen,2022,20,0.149641867585373,300,0.100417084219241,349,0.0492247833661327
Shane Steichen,2023,17,0.126296664555312,255,-0.120061916601885,440,0.246358581157196
Shane Steichen,2024,17,-0.00398891700118504,255,-0.175261704332764,448,0.171272787331579
Shane Steichen,2025,17,0.188237632841546,255,-0.0372845248718155,400,0.225522157713362
Shane Waldron,2021,17,-0.0446656801464434,255,-0.00103992088908113,308,-0.0436257592573622
Shane Waldron,2022,18,-0.06175777156331,270,0.0238748617731009,457,-0.0856326333364109
Shane Waldron,2023,17,0.135256684771549,255,0.0543172280699344,430,0.080939456701615
Steve Sarkisian,2017,18,0.0951800349601566,270,0.0108679284347402,433,0.0843121065254165
Steve Sarkisian,2018,16,0.121761240075198,240,0.0308992464814201,373,0.0908619935937781
Tanner Engstrand,2025,17,-0.205457908973547,255,-0.175210142038584,243,-0.0302477669349631
Terry Robiskie,2016,16,0.121637460591069,240,-0.0275990374030577,258,0.149236497994126
Terry Robiskie,2017,18,-0.0758439656186188,270,-0.0415190263248244,507,-0.0343249392937944
Tim Kelly,2020,16,-0.0595563972930373,240,0.099829689568618,260,-0.159386086861655
Tim Kelly,2021,17,-0.217839913929691,255,0.0450588129633653,251,-0.262898726893056
Tim Kelly,2023,17,-0.147641324734217,255,0.0138761420239672,433,-0.161517466758184
Todd Downing,2017,16,-0.0908159211881791,240,-0.149266459596743,269,0.0584505384085641
Todd Downing,2021,18,-0.0855574107664477,270,0.0219784852874292,350,-0.107535896053877
Todd Downing,2022,17,0.0984133166304387,255,0.0196172021410018,394,0.0787961144894369
Todd Downing,2024,12,-0.0500927701997342,180,0.103015933259727,341,-0.153108703459461
Todd Haley,2015,18,-0.016015142624975,270,-0.0159056408743276,511,-0.000109501750647424
Todd Haley,2016,19,0.158133799706144,285,0.0842690745827517,345,0.0738647251233926
Todd Haley,2017,17,0.0458128912832312,255,0.0610063253386676,443,-0.0151934340554363
Todd Monken,2023,19,0.0714773562905542,285,0.0701704703290953,305,0.00130688596145893
Todd Monken,2024,19,0.205216563859322,285,0.132495380961584,344,0.0727211828977383
Todd Monken,2025,17,0.0202300985768546,255,0.0118616068750718,351,0.00836849170178276
Zac Robinson,2024,17,0.0939702143167338,255,0.0401840761770253,524,0.0537861381397085
Zac Robinson,2025,17,-0.012994133617637,255,0.0125738612273742,482,-0.0255679948450112
