coach,season,wat17,act17,wae17,games,fourth_s,penalties_s,plays_pen,offense_s,defense_s,off_plays,def_plays,two_s,tds
Matt Rhule,2020,-2.69955927275462,5.3125,-1.15837196468928,16,-0.005962027435039669,0.002056247263604448,1133,-0.020409011720966364,-0.02811253389321921,982,1002,-0.03715498938428875,36
Matt Rhule,2021,-1.05090860067552,5,-2.24691931976633,17,6.80130771008567e-4,-8.438509256633864e-4,1274,-0.06409998988711967,0.06926801459953084,1099,1011,0.015630196208846023,31
Mike Macdonald,2024,1.93472875138554,10,1.51270861367503,17,0.008623138648621916,-0.011255431483685761,1234,-0.03149062463790917,0.0325574679796027,1018,1056,-0.024504421198636064,39
Mike Macdonald,2025,6.59958968100543,14,3.22223656298637,17,-0.0019420006785796258,0.002592758995510716,1171,0.04789148402398304,0.1533418751132846,997,1062,-0.029646350639578628,45
Mike McCarthy,2012,2.09033531818555,11.6875,0.309740921282298,16,NA,-1.6454764636291558e-4,1226,0.04116395095687077,0.032516188696171906,1026,1029,0.013645900161253964,49
Mike McCarthy,2013,-1.1336421123281,9.03125,-0.763824700134697,16,NA,0.003946663244740675,1233,0.009963078708844969,-0.09000288109958399,1061,1007,0.03665070679434564,43
Mike McCarthy,2014,2.38367858904439,12.75,1.59435676913938,16,NA,-0.0016300934610613549,1146,0.080007827715324,0.025289777479885353,982,1044,-0.010033444816053512,52
Mike McCarthy,2015,0.23828462148685,10.625,-0.431507409382586,16,NA,-0.0015874929905433169,1270,-0.09035401674243085,0.028139722021159327,1046,1010,0.07276088742810188,40
Mike McCarthy,2016,1.32064166271561,10.625,0.358830462620032,16,NA,0.003442486473629172,1183,0.08513095706341935,-0.062450730737084736,1013,982,-0.0064514083725648735,51
Mike McCarthy,2017,0.346486278506836,7.4375,-0.203682771557141,16,NA,0.00851019987636514,1150,0.07132768804740411,-0.09896009830494729,993,1002,0.0030426905746272076,38
Mike McCarthy,2018,-3.61545925233455,6.375,-3.31812063283807,12,-0.0011037739245316446,0.0029476364695276633,1204,-0.006088049209220854,-0.061588001987363944,1021,1002,0.0021004240478738057,39
Mike McCarthy,2020,-2.62988893753301,6.375,-1.2024355788574,16,0.0030548251370305403,0.006328063815119227,1256,-0.05925652668331321,-0.06473399101084552,1111,1046,0.05728945506015569,40
Mike McCarthy,2021,2.25330136436351,12,1.1775714899732,17,-0.005975112405436259,-0.007300452193283236,1338,0.04595702557226509,0.09362663834245165,1143,1075,0.06516936671575847,56
Mike McCarthy,2022,2.22890381027598,12,1.4655194423664,17,0.007990205049277919,0.0038897480106886567,1269,-0.026592953368891767,0.09229237514293037,1101,1092,-0.05696749120967244,52
Mike McCarthy,2023,1.63528277321702,12,0.541171386416917,17,0.009991939668084718,-0.003961768555482081,1270,0.08503032014655013,0.06494477237946795,1104,1003,-0.003336045565500406,50
Mike McCarthy,2024,-1.69103350428668,7,0.297728623368941,17,-4.106017441402078e-4,-0.002912374090444779,1307,-0.10025645941798736,-0.10241613878254834,1095,1029,-0.004653304573325898,31
Mike McCoy,2013,1.03374430602782,9.5625,1.03798962566209,16,NA,-0.006564522265557565,1234,0.1398034630129299,-0.0901223333007408,1053,954,-0.056372549019607844,41
Mike McCoy,2014,0.287322729506464,9.5625,1.08082524757269,16,NA,-0.0017616412523739355,1194,-0.011016998482544308,0.014258279767699009,1005,987,-0.048494983277591976,37
Mike McCoy,2015,-4.95097320656673,4.25,-2.91013657984229,16,NA,-0.010359676284145379,1308,-0.028828073566319605,-0.05490664693988304,1096,948,0.010996181545748954,34
Mike McCoy,2016,-3.44010609152186,5.3125,-2.95843928663189,16,NA,-0.001492634137727586,1187,-0.020095889145122996,0.030027656867479734,1010,1013,-0.03837115301460774,43
Mike McDaniel,2022,-0.176857727267389,9,-0.0850725460612907,17,-0.0036334393499675745,-0.0030752847784697793,1165,0.04931230637153375,-0.04131653945804146,995,1067,-0.04891740176423416,43
Mike McDaniel,2023,0.832231872979342,11,0.132242442716349,17,0.008502174204758023,-0.004908107369942724,1189,0.09129849729917211,-0.025268634772118014,1036,1041,-0.0682483262672548,57
Mike McDaniel,2024,-2.6997572568124,8,-0.96129082154758,17,-0.0025284128303978727,-0.008604823800656726,1259,-0.10988164169822859,0.00524846761491235,1076,1000,0.04563132540769878,34
Mike McDaniel,2025,-1.93114160774524,7,0.120448843149843,17,0.01130458867790805,1.3837164176103145e-4,1096,-0.053595070016386887,-0.06727388826419045,942,1016,-0.015231936225164208,37
