off_caller,tier,n_contested,contested_rate,contested_era_adj,contested_lo,contested_hi,contested_era_shrunk,rank_open,n_in_tier_contested,n_comp,comp_actual,comp_expected,comp_oe,comp_lo,comp_hi,rank_comp,n_in_tier_comp
Kellen Moore,WR2,290,21.724137931034484,5.23774834482019,0.49158940487108094,9.983907284769298,3.1543668285237474,34,36,290,64.82758620689654,63.241774856016555,1.5858113508800038,-3.4773114752487526,6.64893417700876,16,36
Ken Dorsey,WR2,218,17.889908256880734,1.5451966489452964,-3.5426047448218387,6.6329980427124315,0.8784599850768902,25,36,218,54.58715596330275,58.78764393679593,-4.20048797349319,-10.634306501668572,2.2333305546821913,29,36
Kevin O'Connell,WR2,369,15.447154471544716,-0.9885097666438742,-4.6760031266637565,2.6989835933760076,-0.7067400798355274,13,36,369,63.685636856368546,60.82040238671187,2.8652344696566843,-1.8902959046448986,7.620764843958267,8,36
Kevin Stefanski,WR2,252,16.666666666666668,0.46430239685680164,-4.137092989998456,5.065697783712059,0.2864650922504638,20,36,252,58.33333333333333,64.04261526370806,-5.709281930374712,-11.356676845411439,-0.061887015337985574,33,36
Kliff Kingsbury,WR2,214,13.551401869158878,-3.2219590574135974,-7.807813590857965,1.3638954760307698,-1.9930306546513854,8,36,214,66.82242990654204,65.12466791634249,1.6977619901995782,-4.257156294305816,7.652680274704973,14,36
Klint Kubiak,WR2,151,14.56953642384106,-2.303672300388582,-7.930930542944586,3.323585942167422,-1.1945623935896772,10,36,151,68.21192052980132,63.992628938709665,4.219291591091662,-2.528047864059265,10.96663104624259,4,36
Kyle Shanahan,WR2,314,15.605095541401274,-0.7886502659261385,-4.80269840227302,3.2253978704207427,-0.5356114846489348,16,36,314,64.3312101910828,69.34897799495678,-5.017767803873981,-10.151295243382268,0.11575963563430669,31,36
Liam Coen,WR2,152,18.42105263157895,1.4598989608448427,-4.702936143338849,7.622734065028534,0.6907134771560032,23,36,152,69.07894736842105,65.17789232495585,3.901055043465214,-3.1312265370904253,10.933336624020853,5,36
Luke Getsy,WR2,138,18.115942028985508,1.9644551890647541,-4.461632800129429,8.390543178258937,0.8885799647383856,26,36,138,50.72463768115942,63.76436993047812,-13.039732249318684,-20.796697032630867,-5.282767466006501,36,36
Matt Canada,WR2,130,23.076923076923077,6.888580410242874,-0.3541391618641443,14.13129998234989,2.714104498056487,33,36,130,60,58.41403376597625,1.5859662340237515,-6.564174607300843,9.736107075348347,15,36
