season,team,coach,n_players,top25_ovr,talent_z,wins,predicted_wins,residual_wins
2022,MIA,Mike McDaniel,25,80.36,0.792936331828022,9,9.37614467844589,-0.3761446784458897
2022,MIN,Kevin O'Connell,25,79,0.13588017872148137,13,8.46312033289777,4.53687966710223
2022,NE,Bill Belichick,25,79.56,0.4064327123535876,8,8.839071534005821,-0.8390715340058215
2022,NO,Dennis Allen,25,81.08,1.1407895893550137,7,9.859510508441954,-2.8595105084419536
2022,NYG,Brian Daboll,25,75.92,-1.3521587562550959,9.5,6.395388726803498,3.104611273196502
2022,NYJ,Robert Saleh,25,77.68,-0.5018507934113345,7,7.576949644571657,-0.5769496445716573
2022,PHI,Nick Sirianni,25,80.76,0.9861881415652427,14,9.64468125066593,4.355318749334071
2022,PIT,Mike Tomlin,25,79.16,0.21318090261636688,9,8.570534961785782,0.429465038214218
2022,SEA,Pete Carroll,25,77.12,-0.7724033270434407,9,7.200998443463606,1.7990015565363944
2022,SF,Kyle Shanahan,25,81.24,1.2180903132498992,13,9.966925137329966,3.033074862670034
2022,TB,Todd Bowles,25,81.8,1.4886428468820054,8,10.342876338438016,-2.342876338438016
2022,TEN,Mike Vrabel,25,77.6,-0.5405011553587842,7,7.523242330127641,-0.5232423301276414
2022,WAS,Ron Rivera,25,78.32,-0.19264789783179243,8.5,8.006608160123704,0.49339183987629553
2023,ARI,Jonathan Gannon,25,75.52,-1.5767993124316548,4,6.083235350235983,-2.0832353502359826
2023,ATL,Arthur Smith,25,78.44,-0.14690676823897272,7,8.070168579904667,-1.0701685799046672
2023,BAL,John Harbaugh,25,81.68,1.4396863287419521,13,10.274847916934307,2.7251520830656926
2023,BUF,Sean McDermott,25,81.2,1.2046354995595916,11,9.948228755892877,1.0517712441071225
2023,CAR,Frank Reich,25,79,0.12731919914044673,2,8.451224267786333,-6.451224267786333
2023,CHI,Matt Eberflus,25,77.28,-0.7149462720963377,7,7.28083894072122,-0.2808389407212202
2023,CIN,Zac Taylor,25,80.52,0.8716468248845803,9,9.48551827775085,-0.48551827775085066
2023,CLE,Kevin Stefanski,25,80.68,0.9499971012787051,11,9.594391331431334,1.4056086685686662
2023,DAL,Mike McCarthy,25,80.96,1.0871100849684079,12,9.784919175372158,2.215080824627842
2023,DEN,Sean Payton,25,78.68,-0.029381353647788978,8,8.233478160425387,-0.2334781604253866
2023,DET,Dan Campbell,25,77.4,-0.6561835648007458,12,7.36249373098158,4.63750626901842
2023,GB,Matt LaFleur,25,77.96,-0.38195759742133323,9,7.743549418863237,1.2564505811367628
2023,HOU,DeMeco Ryans,25,76,-1.3417484832492943,10,6.409854511277413,3.5901454887225874
2023,IND,Shane Steichen,25,77.04,-0.8324716866875144,9,7.11752936020051,1.8824706397994904
2023,JAX,Doug Pederson,25,78.44,-0.14690676823897272,9,8.070168579904667,0.9298314200953328
2023,KC,Andy Reid,25,81.72,1.4592738978404782,11,10.302066180354421,0.6979338196455789
2023,LA,Sean McVay,25,73.88,-2.3798896454713803,10,4.967286550011106,5.032713449988894
2023,LAC,Brandon Staley,25,76.48,-1.1066976540669338,5,6.7364736723188425,-1.7364736723188425
2023,LV,Antonio Pierce,25,77.24,-0.7345338411948705,8,7.253620677301097,0.7463793226989033
2023,MIA,Mike McDaniel,25,81.2,1.2046354995595916,11,9.948228755892877,1.0517712441071225
2023,MIN,Kevin O'Connell,25,78.36,-0.18608190643603165,7,8.015732053064431,-1.015732053064431
2023,NE,Bill Belichick,25,78.32,-0.2056694755345646,4,7.988513789644307,-3.9885137896443066
2023,NO,Dennis Allen,25,79.28,0.26443218283015646,9,8.641752111727167,0.3582478882728335
2023,NYG,Brian Daboll,25,78.4,-0.16649433733749872,6,8.042950316484553,-2.0429503164845535
2023,NYJ,Robert Saleh,25,79.64,0.44072030471692514,7,8.886716482508238,-1.8867164825082376
2023,PHI,Nick Sirianni,25,82.04,1.6159744506287208,11,10.519812287715379,0.4801877122846214
2023,PIT,Mike Tomlin,25,79.24,0.24484461373162353,10,8.614533848307044,1.385466151692956
2023,SEA,Pete Carroll,25,79,0.12731919914044673,9,8.451224267786333,0.5487757322136666
2023,SF,Kyle Shanahan,25,82.16,1.6747371579243058,12,10.601467077975729,1.3985329220242715
2023,TB,Todd Bowles,25,77.8,-0.46030787381545113,9,7.634676365182763,1.365323634817237
2023,TEN,Mike Vrabel,25,76.68,-1.008759808574283,6,6.872564989419439,-0.8725649894194394
2023,WAS,Ron Rivera,25,77.44,-0.6365959957022198,4,7.389711994401694,-3.3897119944016936
2024,ARI,Jonathan Gannon,25,76.52,-1.32603877523136,8,6.431684222199396,1.5683157778006036
2024,ATL,Raheem Morris,25,78.88,-0.2565978492865508,8,7.9177453402585245,0.0822546597414755
2024,BAL,John Harbaugh,25,83.76,1.9547884721586528,12,10.990617482685881,1.009382517314119
2024,BUF,Sean McDermott,25,80.16,0.3234379071580921,13,8.723744590731272,4.276255409268728
2024,CAR,Dave Canales,25,78.32,-0.510363492731083,5,7.565120668176696,-2.5651206681766956
2024,CHI,Matt Eberflus,25,78.96,-0.22034561450876144,5,7.96812029341307,-2.9681202934130697
2024,CIN,Zac Taylor,25,80.48,0.4684468462692561,9,8.925244403349463,0.07475559665053666
2024,CLE,Kevin Stefanski,25,81.88,1.10286095488058,3,9.806806083554026,-6.806806083554026
2024,DAL,Mike McCarthy,25,82,1.1572393070472673,7,9.882368513285849,-2.882368513285849
2024,DEN,Sean Payton,25,76.24,-1.4529215969536262,10,6.255371886158482,3.744628113841518
2024,DET,Dan Campbell,25,81.96,1.1391131896583693,15,9.857181036708571,5.142818963291429
2024,GB,Matt LaFleur,25,78.4,-0.4741112579532871,11,7.615495621331251,3.3845043786687494
2024,HOU,DeMeco Ryans,25,80.16,0.3234379071580921,10,8.723744590731272,1.2762554092687282
2024,IND,Shane Steichen,25,79.08,-0.16596726234207415,8,8.043682723144894,-0.04368272314489374
2024,JAX,Doug Pederson,25,77.12,-1.0541470143979301,4,6.809496370858502,-2.8094963708585023
2024,KC,Andy Reid,25,82.92,1.5741400069918547,15,10.461680474563138,4.538319525436862
2024,LA,Sean McVay,25,77.24,-0.9997686622312493,10,6.885058800590317,3.1149411994096834
2024,LAC,Jim Harbaugh,25,75.48,-1.7973178273426285,11,5.7768098311902945,5.2231901688097055
2024,LV,Antonio Pierce,25,77.88,-0.7097507840089278,4,7.288058425826691,-3.2880584258266907
2024,MIA,Mike McDaniel,25,82.2,1.2478698939917439,8,10.008305896172217,-2.0083058961722173
2024,MIN,Kevin O'Connell,25,79.28,-0.07533667539759747,14,8.169620106031262,5.830379893968738
2024,NE,Jerod Mayo,25,77.68,-0.800381370953398,4,7.162121042940331,-3.1621210429403313
2024,NO,Dennis Allen,25,79.92,0.214681202824724,5,8.572619731267636,-3.572619731267636
2024,NYG,Brian Daboll,25,76.04,-1.5435521838980963,3,6.1294345032721225,-3.1294345032721225
2024,NYJ,Robert Saleh,25,80.76,0.5953296679915222,5,9.101556739390379,-4.101556739390379
2024,PHI,Nick Sirianni,25,81,0.7040863723248902,14,9.252681598854014,4.747318401145986
2024,PIT,Mike Tomlin,25,80.8,0.6134557853804137,10,9.126744215967646,0.873255784032354
2024,SEA,Mike Macdonald,25,78.6,-0.3834806710088169,10,7.74143300421761,2.25856699578239
2024,SF,Kyle Shanahan,25,83.44,1.8097795330474888,6,10.78911767006769,-4.789117670067689
2024,TB,Todd Bowles,25,78.64,-0.365354553619919,10,7.766620480794887,2.233379519205113
2024,TEN,Brian Callahan,25,78.64,-0.365354553619919,3,7.766620480794887,-4.766620480794887
2024,WAS,Dan Quinn,25,77.84,-0.7278769013978192,12,7.262870949249422,4.737129050750578
2025,ARI,Jonathan Gannon,25,77.96,-0.9981949471129528,3,6.887245585097498,-3.8872455850974976
2025,ATL,Raheem Morris,25,78.4,-0.7477568705742736,8,7.23524637597508,0.7647536240249204
2025,BAL,John Harbaugh,25,84.04,2.462403928694162,8,11.69598378631487,-3.6959837863148692
2025,BUF,Sean McDermott,25,81.4,0.9597754694621282,12,9.607979041049436,2.392020958950564
2025,CAR,Dave Canales,25,78.52,-0.6794555769728231,8,7.330155682578046,0.6698443174219539
2025,CHI,Ben Johnson,25,79.56,-0.08751103242686689,11,8.152703006470494,2.847296993529506
2025,CIN,Zac Taylor,25,78.68,-0.5883871855042089,6,7.456701424715353,-1.4567014247153534
2025,CLE,Kevin Stefanski,25,79.72,0.0035573590417392682,5,8.279248748607792,-3.2792487486077917
2025,DAL,Brian Schottenheimer,25,80.16,0.25399543558041027,7.5,8.627249539485362,-1.127249539485362
2025,DEN,Sean Payton,25,79.84,0.07185865264319793,14,8.374158055210769,5.625841944789231
2025,DET,Dan Campbell,25,83.32,2.0525961670854183,9,11.126527946697014,-2.1265279466970135
2025,GB,Matt LaFleur,25,79.72,0.0035573590417392682,9.5,8.279248748607792,1.2207512513922083
2025,HOU,DeMeco Ryans,25,80.92,0.6865702950563016,12,9.228341814637535,2.7716581853624653
2025,IND,Shane Steichen,25,79.84,0.07185865264319793,8,8.374158055210769,-0.37415805521076884
2025,JAX,Liam Coen,25,76.56,-1.7950433724632686,13,5.7799703413961385,7.2200296586038615
2025,KC,Andy Reid,25,82.84,1.7793909926795997,6,10.746890720285124,-4.7468907202851245
2025,LA,Sean McVay,25,79.24,-0.2696478153640873,12,7.899611522195891,4.100388477804109
2025,LAC,Jim Harbaugh,25,79.32,-0.2241136196297842,11,7.962884393264539,3.037115606735461
2025,LV,Pete Carroll,25,78,-0.9754278492457972,3,6.918882020631828,-3.918882020631828
2025,MIA,Mike McDaniel,25,78.72,-0.5656200876370614,7,7.488337860249672,-0.48833786024967196
2025,MIN,Kevin O'Connell,25,81.08,0.7776386865249078,9,9.354887556774832,-0.3548875567748322
