coach,resid_sit,n,resid_mad,target,shift
Matt Burke,-7.981697400729817,807,-8.206926834644833,Blitz,-0.2252294339150156
Matt Eberflus,-2.0117073879172676,2586,-2.01546605957413,Blitz,-0.0037586716568625
Mike Caldwell,-0.16249037960964255,2085,-0.310684286826813,Blitz,-0.14819390721717043
Mike Macdonald,-1.2866641536828174,4231,-1.3419328651983757,Blitz,-0.055268711515558344
Mike Zimmer,0.9843480442375179,1039,1.3546213076759435,Blitz,0.3702732634384256
Nick Rallis,-3.3235886500031184,2888,-3.343971754823815,Blitz,-0.020383104820696385
Nick Sorensen,-6.410231621731394,1020,-6.685058122023002,Blitz,-0.27482650029160816
Patrick Graham,-1.2122527434734844,4082,-1.4159230203545459,Blitz,-0.20367027688106143
Raheem Morris,1.7798550051284545,1937,1.385818053667227,Blitz,-0.3940369514612274
Robert Saleh,-3.4423262751741515,1042,-3.470191196824482,Blitz,-0.027864921650330388
Ryan Nielsen,-6.0406765519565875,2068,-5.415645484612494,Blitz,0.6250310673440937
Sean Desai,-1.0649869628071933,852,-0.8812356575641278,Blitz,0.1837513052430655
Sean McDermott,-1.4635199443789284,3260,-1.024844516177577,Blitz,0.4386754282013514
Shane Bowen,-1.5071287863758567,3801,-1.1530640515822108,Blitz,0.35406473479364586
Steve Spagnuolo,4.154921435803781,4617,3.7527225005062714,Blitz,-0.40219893529750994
Steve Wilks,-2.533962114421619,1917,-2.3402599133243256,Blitz,0.19370220109729352
Teryl Austin,2.0634057969647035,4104,1.857019395389404,Blitz,-0.20638640157529942
Todd Bowles,8.50441240436706,4074,8.086923663808212,Blitz,-0.41748874055884677
Vance Joseph,3.6502847200558555,4196,3.5706675626152773,Blitz,-0.07961715744057818
Vic Fangio,-0.9774129485343336,3430,-1.08841760877698,Blitz,-0.11100466024264632
Zach Orr,-0.9011018491710474,2186,-1.3848350380908994,Blitz,-0.48373318891985195
Zak Kuhr,0.22800459040459864,1068,0.7050644776000676,Blitz,0.477059887195469
